time,zone,pressure
0.7000000000000004,ESC_MAT,15.0
0.7000000000000004,ESC_PER,10.0
0.7100000000000004,EXTERIOR,0.0
0.7100000000000004,GRANULACION_II,30.0
0.7100000000000004,ESC_MAT,15.0
0.7100000000000004,ESC_PER,10.0
0.7200000000000004,EXTERIOR,0.0
0.7200000000000004,GRANULACION_II,30.0
0.7200000000000004,ESC_MAT,15.0
0.7200000000000004,ESC_PER,10.0
0.7300000000000004,EXTERIOR,0.0
0.7300000000000004,GRANULACION_II,30.0
0.7300000000000004,ESC_MAT,15.0
0.7300000000000004,ESC_PER,10.0
0.7400000000000004,EXTERIOR,0.0
0.7400000000000004,GRANULACION_II,30.0
0.7400000000000004,ESC_MAT,15.0
0.7400000000000004,ESC_PER,10.0
0.7500000000000004,EXTERIOR,0.0
0.7500000000000004,GRANULACION_II,30.0
0.7500000000000004,ESC_MAT,15.0
0.7500000000000004,ESC_PER,10.0
0.7600000000000005,EXTERIOR,0.0
0.7600000000000005,GRANULACION_II,30.0
0.7600000000000005,ESC_MAT,15.0
0.7600000000000005,ESC_PER,10.0
0.7700000000000005,EXTERIOR,0.0
0.7700000000000005,GRANULACION_II,30.0
0.7700000000000005,ESC_MAT,15.0
0.7700000000000005,ESC_PER,10.0
0.7800000000000005,EXTERIOR,0.0
0.7800000000000005,GRANULACION_II,30.0
0.7800000000000005,ESC_MAT,15.0
0.7800000000000005,ESC_PER,10.0
0.7900000000000005,EXTERIOR,0.0
0.7900000000000005,GRANULACION_II,30.0
0.7900000000000005,ESC_MAT,15.0
0.7900000000000005,ESC_PER,10.0
0.8000000000000005,EXTERIOR,0.0
0.8000000000000005,GRANULACION_II,30.0
0.8000000000000005,ESC_MAT,15.0
0.8000000000000005,ESC_PER,10.0
0.8100000000000005,EXTERIOR,0.0
0.8100000000000005,GRANULACION_II,30.0
0.8100000000000005,ESC_MAT,15.0
0.8100000000000005,ESC_PER,10.0
0.8200000000000005,EXTERIOR,0.0
0.8200000000000005,GRANULACION_II,30.0
0.8200000000000005,ESC_MAT,15.0
0.8200000000000005,ESC_PER,10.0
0.8300000000000005,EXTERIOR,0.0
0.8300000000000005,GRANULACION_II,30.0
0.8300000000000005,ESC_MAT,15.0
0.8300000000000005,ESC_PER,10.0
0.8400000000000005,EXTERIOR,0.0
0.8400000000000005,GRANULACION_II,30.0
0.8400000000000005,ESC_MAT,15.0
0.8400000000000005,ESC_PER,10.0
0.8500000000000005,EXTERIOR,0.0
0.8500000000000005,GRANULACION_II,30.0
0.8500000000000005,ESC_MAT,15.0
0.8500000000000005,ESC_PER,10.0
0.8600000000000005,EXTERIOR,0.0
0.8600000000000005,GRANULACION_II,30.0
0.8600000000000005,ESC_MAT,15.0
0.8600000000000005,ESC_PER,10.0
0.8700000000000006,EXTERIOR,0.0
0.8700000000000006,GRANULACION_II,30.0
0.8700000000000006,ESC_MAT,15.0
0.8700000000000006,ESC_PER,10.0
0.8800000000000006,EXTERIOR,0.0
0.8800000000000006,GRANULACION_II,30.0
0.8800000000000006,ESC_MAT,15.0
0.8800000000000006,ESC_PER,10.0
0.8900000000000006,EXTERIOR,0.0
0.8900000000000006,GRANULACION_II,30.0
0.8900000000000006,ESC_MAT,15.0
0.8900000000000006,ESC_PER,10.0
0.9000000000000006,EXTERIOR,0.0
0.9000000000000006,GRANULACION_II,30.0
0.9000000000000006,ESC_MAT,15.0
