time,link,area,delta_p
0.5500000000000003,L3,0.003,15.0
0.5500000000000003,L4,0.003,10.0
0.5600000000000003,L1,0.015,15.0
0.5600000000000003,L2,0.015,20.0
0.5600000000000003,L3,0.003,15.0
0.5600000000000003,L4,0.003,10.0
0.5700000000000003,L1,0.015,15.0
0.5700000000000003,L2,0.015,20.0
0.5700000000000003,L3,0.003,15.0
0.5700000000000003,L4,0.003,10.0
0.5800000000000003,L1,0.015,15.0
0.5800000000000003,L2,0.015,20.0
0.5800000000000003,L3,0.003,15.0
0.5800000000000003,L4,0.003,10.0
0.5900000000000003,L1,0.015,15.0
0.5900000000000003,L2,0.015,20.0
0.5900000000000003,L3,0.003,15.0
0.5900000000000003,L4,0.003,10.0
0.6000000000000003,L1,0.015,15.0
0.6000000000000003,L2,0.015,20.0
0.6000000000000003,L3,0.003,15.0
0.6000000000000003,L4,0.003,10.0
0.6100000000000003,L1,0.015,15.0
0.6100000000000003,L2,0.015,20.0
0.6100000000000003,L3,0.003,15.0
0.6100000000000003,L4,0.003,10.0
0.6200000000000003,L1,0.015,15.0
0.6200000000000003,L2,0.015,20.0
0.6200000000000003,L3,0.003,15.0
0.6200000000000003,L4,0.003,10.0
0.6300000000000003,L1,0.015,15.0
0.6300000000000003,L2,0.015,20.0
0.6300000000000003,L3,0.003,15.0
0.6300000000000003,L4,0.003,10.0
0.6400000000000003,L1,0.015,15.0
0.6400000000000003,L2,0.015,20.0
0.6400000000000003,L3,0.003,15.0
0.6400000000000003,L4,0.003,10.0
0.6500000000000004,L1,0.015,15.0
0.6500000000000004,L2,0.015,20.0
0.6500000000000004,L3,0.003,15.0
0.6500000000000004,L4,0.003,10.0
0.6600000000000004,L1,0.015,15.0
0.6600000000000004,L2,0.015,20.0
0.6600000000000004,L3,0.003,15.0
0.6600000000000004,L4,0.003,10.0
0.6700000000000004,L1,0.015,15.0
0.6700000000000004,L2,0.015,20.0
0.6700000000000004,L3,0.003,15.0
0.6700000000000004,L4,0.003,10.0
0.6800000000000004,L1,0.015,15.0
0.6800000000000004,L2,0.015,20.0
0.6800000000000004,L3,0.003,15.0
0.6800000000000004,L4,0.003,10.0
0.6900000000000004,L1,0.015,15.0
0.6900000000000004,L2,0.015,20.0
0.6900000000000004,L3,0.003,15.0
0.6900000000000004,L4,0.003,10.0
0.7000000000000004,L1,0.015,15.0
0.7000000000000004,L2,0.015,20.0
0.7000000000000004,L3,0.003,15.0
0.7000000000000004,L4,0.003,10.0
0.7100000000000004,L1,0.015,15.0
0.7100000000000004,L2,0.015,20.0
0.7100000000000004,L3,0.003,15.0
0.7100000000000004,L4,0.003,10.0
0.7200000000000004,L1,0.015,15.0
0.7200000000000004,L2,0.015,20.0
0.7200000000000004,L3,0.003,15.0
0.7200000000000004,L4,0.003,10.0
0.7300000000000004,L1,0.015,15.0
0.7300000000000004,L2,0.015,20.0
0.7300000000000004,L3,0.003,15.0
0.7300000000000004,L4,0.003,10.0
0.7400000000000004,L1,0.015,15.0
0.7400000000000004,L2,0.015,20.0
0.7400000000000004,L3,0.003,15.0
0.7400000000000004,L4,0.003,10.0
0.7500000000000004,L1,0.015,15.0
0.7500000000000004,L2,0.015,20.0
0.7500000000000004,L3,0.003,15.0
0.7500000000000004,L4,0.003,10.0
0.7600000000000005,L1,0.015,15.0
0.7600000000000005,L2,0.015,20.0
0.7600000000000005,L3,0.003,15.0
0.7600000000000005,L4,0.003,10.0
0.7700000000000005,L1,0.015,15.0
0.7700000000000005,L2,0.015,20.0
0.7700000000000005,L3,0.003,15.0
0.7700000000000005,L4,0.003,10.0
0.7800000000000005,L1,0.015,15.0
0.7800000000000005,L2,0.015,20.0
0.7800000000000005,L3,0.003,15.0
0.7800000000000005,L4,0.003,10.0
0.7900000000000005,L1,0.015,15.0
0.7900000000000005,L2,0.015,20.0
0.7900000000000005,L3,0.003,15.0
0.7900000000000005,L4,0.003,10.0
0.8000000000000005,L1,0.015,15.0
0.8000000000000005,L2,0.015,20.0
0.8000000000000005,L3,0.003,15.0
0.8000000000000005,L4,0.003,10.0
0.8100000000000005,L1,0.015,15.0
0.8100000000000005,L2,0.015,20.0
0.8100000000000005,L3,0.003,15.0
0.8100000000000005,L4,0.003,10.0
0.8200000000000005,L1,0.015,15.0
0.8200000000000005,L2,0.015,20.0
0.8200000000000005,L3,0.003,15.0
0.8200000000000005,L4,0.003,10.0
0.8300000000000005,L1,0.015,15.0
0.8300000000000005,L2,0.015,20.0
0.8300000000000005,L3,0.003,15.0
0.8300000000000005,L4,0.003,10.0
0.8400000000000005,L1,0.015,15.0
0.8400000000000005,L2,0.015,20.0
0.8400000000000005,L3,0.003,15.0
0.8400000000000005,L4,0.003,10.0
0.8500000000000005,L1,0.015,15.0
0.8500000000000005,L2,0.015,20.0
0.8500000000000005,L3,0.003,15.0
0.8500000000000005,L4,0.003,10.0
0.8600000000000005,L1,0.015,15.0
0.8600000000000005,L2,0.015,20.0
0.8600000000000005,L3,0.003,15.0
0.8600000000000005,L4,0.003,10.0
0.8700000000000006,L1,0.015,15.0
0.8700000000000006,L2,0.015,20.0
0.8700000000000006,L3,0.003,15.0
0.8700000000000006,L4,0.003,10.0
0.8800000000000006,L1,0.015,15.0
0.8800000000000006,L2,0.015,20.0
0.8800000000000006,L3,0.003,15.0
0.8800000000000006,L4,0.003,10.0
0.8900000000000006,L1,0.015,15.0
0.8900000000000006,L2,0.015,20.0
0.8900000000000006,L3,0.003,15.0
0.8900000000000006,L4,0.003,10.0
0.9000000000000006,L1,0.015,15.0
0.9000000000000006,L2,0.015,20.0
0.9000000000000006,L3,0.003,15.0
0.9000000000000006,L4,0.003,10.0
0.9100000000000006,L1,0.015,15.0
0.9100000000000006,L2,0.015,20.0
0.9100000000000006,L3,0.003,15.0
0.9100000000000006,L4,0.003,10.0
0.9200000000000006,L1,0.015,15.0
0.9200000000000006,L2,0.015,20.0
0.9200000000000006,L3,0.003,15.0
0.9200000000000006,L4,0.003,10.0
0.9300000000000006,L1,0.015,15.0
0.9300000000000006,L2,0.015,20.0
0.9300000000000006,L3,0.003,15.0
0.9300000000000006,L4,0.003,10.0
0.9400000000000006,L1,0.015,15.0
0.9400000000000006,L2,0.015,20.0
0.9400000000000006,L3,0.003,15.0
0.9400000000000006,L4,0.003,10.0
0.9500000000000006,L1,0.015,15.0
0.9500000000000006,L2,0.015,20.0
0.9500000000000006,L3,0.003,15.0
0.9500000000000006,L4,0.003,10.0
0.9600000000000006,L1,0.015,15.0
0.9600000000000006,L2,0.015,20.0
0.9600000000000006,L3,0.003,15.0
0.9600000000000006,L4,0.003,10.0
